OBJECTID,Id,Company,Status,StatusStart,LatestEventStart,LatestEventEnd,Latitude,Longitude,ReceivingWaterCourse,LastUpdated,x,y
1,WXW00786,Wessex Water,0,2/28/2026 5:20:00 PM,2/27/2026 11:45:00 PM,2/28/2026 5:20:00 PM,51.5463962127554,-2.47852960275609,(S) RIVER FROME,3/9/2026 5:33:26 PM,-275908.653294863,6718519.98692932
2,WXW00047,Wessex Water,0,2/27/2026 6:42:00 PM,2/27/2026 6:40:00 PM,2/27/2026 6:42:00 PM,50.9445558599872,-2.51262028772909,RIVER YEO VIA SWS,3/9/2026 5:33:26 PM,-279703.610986851,6611492.15000355
3,WXW00576,Wessex Water,0,2/19/2026 1:16:00 AM,2/19/2026 12:46:00 AM,2/19/2026 1:16:00 AM,50.736572646305,-1.79332092621467,RIVER STOUR,3/9/2026 5:33:26 PM,-199631.572335139,6574828.09385339
4,WXW00768,Wessex Water,0,2/18/2026 6:44:00 PM,2/18/2026 6:42:00 PM,2/18/2026 6:44:00 PM,50.7424568555163,-1.81238331574538,Stour (Lower),3/9/2026 5:33:26 PM,-201753.587831001,6575863.14203982
5,WXW00472,Wessex Water,0,2/18/2026 11:58:00 PM,2/18/2026 6:52:00 PM,2/18/2026 11:58:00 PM,50.7994117514191,-1.88245761883121,TRIB OF MOORS RIVER(S),3/9/2026 5:33:26 PM,-209554.223568209,6585888.39037124
6,WXW00046,Wessex Water,0,,,,51.3208085959218,-2.21145118354472,RIVER BISS,3/9/2026 5:33:26 PM,-246177.619666381,6678238.44383351
7,WXW00010,Wessex Water,0,12/18/2025 3:10:00 PM,12/18/2025 3:08:00 PM,12/18/2025 3:10:00 PM,51.5074360777598,-2.55670556777803,SWS-NEW ROAD BROOK-STOKE BROOK,3/9/2026 5:33:26 PM,-284611.161913377,6711548.92814545
8,WXW00059,Wessex Water,0,3/8/2026 12:20:00 PM,3/8/2026 5:38:00 AM,3/8/2026 12:20:00 PM,50.6624991646043,-2.5833371646103,ABBOTSBURY BROOK,3/9/2026 5:33:26 PM,-287575.777711758,6561809.47692389
9,WXW00078,Wessex Water,0,2/28/2026 1:04:00 PM,2/28/2026 1:02:00 PM,2/28/2026 1:04:00 PM,51.562785394131,-2.57982781944039,SANDY RHINE TRIB CHESTLE PILL,3/9/2026 5:33:26 PM,-287185.119194426,6721454.25391665
10,WXW00079,Wessex Water,0,2/15/2026 5:42:00 PM,2/15/2026 5:41:00 PM,2/15/2026 5:42:00 PM,51.580951322125,-2.54784674193038,TOCKINGTON MILL RHINE,3/9/2026 5:33:26 PM,-283625.001930991,6724707.85999385
